Item_ID,URL,Men/Women,Item_Name,Color,Details,Price
,https://coolplanet.lk/product/man-united-polo-t-shirt-black-dark-gray/,Men,Man United Polo T-shirt Dark Gray,Dark Grey,Man United Dark Gray polo t-shirt for Men. MENS CASUAL T-SHIRT ,"Rs.1,790.00"
,https://gflock.lk/collections/women-all/products/printed-casual-dress-2,Women,Printed Casual Dress,"Printed, White, Pink","Dress
Front Buttoned
Shift
3/4 Sleeve
Casual Wear
Material : Viscose
Material Composition : 100% Viscose","Rs 2,950.00"
,https://gflock.lk/collections/women-all/products/printed-v-neck-top,Women,Printed V Neck Top,"Printed, Blue, Green","Top
V Neck
Printed
Short Sleeve
WorkWear 
Material : Woven
Material Composition :100% Polyester","Rs. 1,950.00"
,https://gflock.lk/collections/women-all/products/side-strap-detail-workwear-pant,Women,Side Strap Detail Workwear Pant,Black,"Pant
Side Stripe Detailed
Workwear
Material : Woven
Material Composition : 100% Polyester    ","Rs 2,650.00"
,https://gflock.lk/collections/women-all/products/structured-peplum-top,Women,Structured Peplum Top,"Navy, Purple","Top
Peplum
Cap Sleeve
WorkWear 
Material : Woven
Material Composition :100% Polyester","Rs 2,350.00"
,https://gflock.lk/collections/women-all/products/tie-up-detail-printed-top,Women,Tie Up Detail Printed Top,Grey,"Top
Printed
3/4 Sleeve
WorkWear 
Material : Woven
Material Composition :100% Polyester","Rs 2,100.00"
,https://gflock.lk/collections/women-all/products/printed-v-neck-top-1,Women,Printed V Neck Top,"Printed, Maroon, White","Top
3/4 Sleeve
Printed
WorkWear 
Material : Woven
Material Composition :100% Polyester","Rs 2,100.00"
,https://gflock.lk/collections/women-all/products/tie-up-detail-short-sleeve-top,Women,Tie Up Detail Short Sleeve Top,"Pink, Yellow","Top
Short Sleeve
WorkWear 
Material : Woven
Material Composition :100% Polyester","Rs 2,100.00"
,https://gflock.lk/collections/women-all/products/lapel-detail-workwear-dress,Women,Lapel Detail Workwear Dress,Navy,"Dress
Lapel Collar Detail
Sleeveless
Workwear 
Material : Woven
Material Composition : 18% Polyester, 25% Viscose, 52% Cationic, 5% Spandex","Rs. 3,450.00"
,https://gflock.lk/collections/women-all/products/one-shoulder-frill-detailed-bodycon-dress,Women,One Shoulder Frill Detailed Bodycon Dress,"Blue, Black","Dress
One Shoulder
Frill Detailed
Occasional & Evening Wear
Material : Woven
Material Composition : 100% Polyester
Lining Material : 97% Polyester, 3% Elastane","Rs. 3,450.00"
,https://gflock.lk/collections/women-all/products/sleeveless-bodycon-dress,Women,Sleeveless Bodycon Dress,"Printed, Yellow, Red, Orange","Dress
Printed
Sleeveless
Occasional & Evening Wear
Material : Ponte
Material Composition : 32% Nylon, 63% Rayon, 5% Spandex
Lining Material : 97% Polyester, 3% Elastane","Rs 3,800.00"
,https://gflock.lk/collections/women-all/products/off-shoulder-evening-dress-2,Women,Off Shoulder Evening Dress,"Red, Brown","Dress
Off Shoulder
3/4 Sleeve
Occasional & Evening Wear
Material : Woven
Material Composition : 100% Polyester
Lining Material : 97% Polyester, 3% Elastane","Rs 3,200.00"
,https://gflock.lk/collections/women-all/products/sleeve-bow-detailed-evening-dress,Women,Sleeve Bow Detailed Evening Dress,"Blue, Yellow","Dress
Sleeve Bow Detailed
3/4 Sleeve
Occasional & Evening Wear
Material : Woven
Material Composition : 100% Polyester
Lining Material : 97% Polyester, 3% Elastane","Rs 3,700.00"
,https://gflock.lk/collections/women-all/products/patch-pocket-detailed-dress-1,Women,Patch Pocket Detailed Dress,"Blue, Black, Yellow, Green","Dress
Tie Up Shelf Fabric Belt
Patch Pockets At Front
Short Sleeve
Mini
Material : Linen
Material Composition : 100% Linen","Rs 3,575.00"
,https://gflock.lk/collections/women-all/products/frill-detailed-workwear-top,Women,Frill Detailed Workwear Top,Green,"Top
Frill Detailed
3/4 Sleeve
WorkWear 
Material : Woven
Material Composition :100% Polyester","Rs 1,980.00"
,https://gflock.lk/collections/women-all/products/pleated-swing-skirt-1,Women,Pleated Swing Skirt,Black,"Skirt
Pleated
Material Composition: 100% Polyester","Rs 1,150.00 "
,https://gflock.lk/collections/women-skirts/products/short-tight-skirt,Women,Short Tight Skirt,"Black, Red, Navy","Tight Skirt
Occasional Wear & Evening Wear
Material : Ponte
Material Composition : 32% Nylon, 63% Rayon, 5% Spandex","Rs 1,250.00"
,https://gflock.lk/collections/women-skirts/products/seam-detail-workwear-skirt,Women,Seam Detail Workwear Skirt,"Beige, Grey","Skirt
Seam Detail
Workwear 
Material : Woven
Material Composition : 100% Polyester. ","Rs. 1,900.00"
,https://gflock.lk/collections/women-skirts/products/workwear-skirt,Women,Four Quarter Skirt,"Red, Green","Skirt
Casual Wear  
Material : Woven
Material Composition : 100% Polyester","Rs. 1,900.00"
,https://gflock.lk/collections/women-skirts/products/floral-printed-skirt,Women,Floral Printed Long Skirt,Black,"Skirt
Occasional & Evening Wear
Material : Ponte
Material Composition : 32% Nylon, 63% Rayon, 5% Spandex","Rs 3,950.00"
,https://gflock.lk/collections/women-skirts/products/high-waist-linen-skirt,Women,High Waist Linen Skirt,Green,"Skirt
Patch Pockets At Front
Material : Linen
Material Composition : 100% Linen","Rs 3,950.00"
,https://gflock.lk/collections/women-shorts/products/short-with-turn-up-hem,Women,Short With Turn Up Hem,"Blue, Pink","Short
Short With Turn Up
Casual Wear
Material : Cotton
Material Composition : 100% Polyester","Rs. 1,900.00"
,https://gflock.lk/collections/women-shorts/products/beach-linen-short,Women,Beach Linen Short,Blue,"Short
Elasticated Waist
Turn Back Hem
Casual Wear
Material : Linen
Material Composition : 35% Linen, 65% Cotton","Rs. 1,900.00"
,https://gflock.lk/collections/women-shorts/products/simple-linen-short,Women,Simple Linen Short,Green,"Short
Elasticated Waist
Tie Up Code
Side Pockets
Casual Wear
Material : Linen
Material Composition : 100% Linen","Rs 1,450.00"
,https://gflock.lk/collections/women-trousers/products/high-waist-work-wear-pant-1,Women,High Waist Work Wear Pant,"Navy, Black, Grey, Beige","Pant
Workwear
Material : Woven
Material Composition : 52% Cationic, 25% Viscose, 18% Polyester  ","Rs 1,450.00"
,https://www.zigzag.lk/t-shirts/navy-blue-front-criss-cross-t-shirt.htmlv,Women,NAVY BLUE FRONT CRISS CROSS T-SHIRT,Navy Blue,"Material: Knit
Colour: Blue
Style: Sleeves
Type: Casual 
Description: Front Criss Cross","Rs. 1,290.00"
,https://www.zigzag.lk/t-shirts/navy-blue-wink-at-me.html,Women,NAVY BLUE WINK AT ME,Navy Blue,"Material: Knit
Colour: Navy Blue
Style: Sleeves
Type: Casual 
Description: Printed ","Rs. 1,290.00"
,https://www.zigzag.lk/t-shirts/tres-lovely-t-shirt.html,Women,TRES LOVELY T-SHIRT,Black,"Material: Knit
Colour: Black
Style: Sleeves
Type: Casual 
Description: Crew Neck","Rs. 1,490.00"
,https://www.zigzag.lk/t-shirts/girls-to-the-front-t-shirt.html,Women,GIRLS TO THE FRONT T-SHIRT,Pink,"Material: Knit
Colour: Pink
Style: Sleeves
Type: Casual 
Description: Crew Neck","Rs. 1,490.00"
,https://www.zigzag.lk/t-shirts/black-front-to-side-criss-crossed-tee.html,Women,BLACK FRONT TO SIDE CRISS-CROSSED TEE,Black,"Material:Knit
Colour: Black 
Style: T-shirt
Type: Casual
Description: Criss Cross T-shirt","Rs. 1,390.00"
,https://www.zigzag.lk/t-shirts/black-open-knit-tee.html,Women,BLACK OPEN KNIT TEE,Black,"Material: Knit
Colour: Black
Style: Long Sleeves
Type: Casual
Description: Open Neck","Rs. 1,190.00"
,https://www.zigzag.lk/t-shirts/side-cord-detailed-knit-top.html,Women,SIDE CORD DETAILED KNIT TOP,Beige,"Material: Knit
Colour: Beige
Style: Sleeves
Type: Casual 
Description: Corded Shoulder detail","Rs. 1,290.00"
,https://www.zigzag.lk/t-shirts/grey-wink-at-me-t-shirt.html,Women,GREY WINK AT ME T-SHIRT,Grey,"Material: Knit
Colour: Grey
Style: Sleeves
Type: Casual 
Description: Crew Neck","Rs. 1,490.00"
,https://www.zigzag.lk/t-shirts/tropical-watermelon-t-shirt.html,Women,TROPICAL WATERMELON T-SHIRT,Grey,"Material: Knit
Colour: Grey
Style: Sleeves
Type: Casual 
Description: Printed","Rs. 1,290.00"
,https://www.zigzag.lk/t-shirts/grey-front-criss-cross-t-shirt.html,Women,GREY FRONT CRISS CROSS T-SHIRT,Grey,"Material: Knit
Colour: Grey
Style: Sleeves
Type: Casual 
Description: Front Criss Cross","Rs. 1,290.00"
,https://www.zigzag.lk/t-shirts/black-front-criss-cross-t-shirt.html,Women,BLACK FRONT CRISS CROSS T-SHIRT,Black,"Material: Knit
Colour: Black
Style: Sleeves
Type: Casual 
Description: Front Criss Cross","Rs. 1,290.00"
