,Confidence,Detected,DetectedClass,class,filename,height,loc_Accuracy,min_tresh,width,xmax,xmin,ymax,ymin
5,0.4910082519054413,False,UnDetected,T-Shirt_Regular,5.jpg,275.0,0.0,0.6,183.0,151.0,70.0,154.0,47.0
5,0.4910082519054413,False,UnDetected,T-Shirt_Regular,5.jpg,275.0,0.0,0.8,183.0,151.0,70.0,154.0,47.0
6,0.9970302581787109,True,T-Shirt_Regular,T-Shirt_Regular,6.jpg,183.0,0.8942605102909534,0.2,275.0,229.0,95.0,182.0,84.0
6,0.9970302581787109,True,T-Shirt_Regular,T-Shirt_Regular,6.jpg,183.0,0.8942605102909534,0.4,275.0,229.0,95.0,182.0,84.0
6,0.9970302581787109,True,T-Shirt_Regular,T-Shirt_Regular,6.jpg,183.0,0.8942605102909534,0.6,275.0,229.0,95.0,182.0,84.0
6,0.9970302581787109,True,T-Shirt_Regular,T-Shirt_Regular,6.jpg,183.0,0.8942605102909534,0.8,275.0,229.0,95.0,182.0,84.0
7,0.6968047618865967,False,Coat_Regular,T-Shirt_Regular,7.jpg,183.0,0.0,0.2,275.0,120.0,47.0,156.0,39.0
7,0.6968047618865967,False,Coat_Regular,T-Shirt_Regular,7.jpg,183.0,0.0,0.4,275.0,120.0,47.0,156.0,39.0
7,0.6968047618865967,False,Coat_Regular,T-Shirt_Regular,7.jpg,183.0,0.0,0.6,275.0,120.0,47.0,156.0,39.0
7,0.6968047618865967,False,UnDetected,T-Shirt_Regular,7.jpg,183.0,0.0,0.8,275.0,120.0,47.0,156.0,39.0
8,0.9834322333335876,True,T-Shirt_Regular,T-Shirt_Regular,8.jpg,275.0,0.926797139112749,0.2,183.0,164.0,33.0,249.0,80.0
8,0.9834322333335876,True,T-Shirt_Regular,T-Shirt_Regular,8.jpg,275.0,0.926797139112749,0.4,183.0,164.0,33.0,249.0,80.0
8,0.9834322333335876,True,T-Shirt_Regular,T-Shirt_Regular,8.jpg,275.0,0.926797139112749,0.6,183.0,164.0,33.0,249.0,80.0
8,0.9834322333335876,True,T-Shirt_Regular,T-Shirt_Regular,8.jpg,275.0,0.926797139112749,0.8,183.0,164.0,33.0,249.0,80.0
9,0.998504638671875,True,T-Shirt_Regular,T-Shirt_Regular,9.jpg,515.0,0.9278900420265533,0.2,600.0,509.0,85.0,515.0,139.0
9,0.998504638671875,True,T-Shirt_Regular,T-Shirt_Regular,9.jpg,515.0,0.9278900420265533,0.4,600.0,509.0,85.0,515.0,139.0
9,0.998504638671875,True,T-Shirt_Regular,T-Shirt_Regular,9.jpg,515.0,0.9278900420265533,0.6,600.0,509.0,85.0,515.0,139.0
9,0.998504638671875,True,T-Shirt_Regular,T-Shirt_Regular,9.jpg,515.0,0.9278900420265533,0.8,600.0,509.0,85.0,515.0,139.0
0,0.4891533851623535,True,Coat_Regular,Coat_Regular,1.jpg,336.0,0.7966901179633532,0.2,224.0,165.0,42.0,322.0,62.0
0,0.4891533851623535,True,Coat_Regular,Coat_Regular,1.jpg,336.0,0.7966901179633532,0.4,224.0,165.0,42.0,322.0,62.0
0,0.7699404358863831,False,Dress_Casual,Coat_Regular,1.jpg,336.0,0.7966901179633532,0.6,224.0,165.0,42.0,322.0,62.0
0,0.7699404358863831,False,UnDetected,Coat_Regular,1.jpg,336.0,0.7966901179633532,0.8,224.0,165.0,42.0,322.0,62.0
1,0.4242854118347168,True,Coat_Regular,Coat_Regular,10.jpg,750.0,0.6532229480161886,0.2,500.0,451.0,25.0,746.0,293.0
1,0.4242854118347168,True,Coat_Regular,Coat_Regular,10.jpg,750.0,0.6532229480161886,0.4,500.0,451.0,25.0,746.0,293.0
1,0.9836124777793884,False,Suit_Regular,Coat_Regular,10.jpg,750.0,0.6532229480161886,0.6,500.0,451.0,25.0,746.0,293.0
1,0.9836124777793884,False,Suit_Regular,Coat_Regular,10.jpg,750.0,0.6532229480161886,0.8,500.0,451.0,25.0,746.0,293.0
2,0.9891090393066406,False,Suit_Regular,Coat_Regular,2.jpg,274.0,0.0,0.2,224.0,182.0,45.0,271.0,18.0
2,0.9891090393066406,False,Suit_Regular,Coat_Regular,2.jpg,274.0,0.0,0.4,224.0,182.0,45.0,271.0,18.0
2,0.9891090393066406,False,Suit_Regular,Coat_Regular,2.jpg,274.0,0.0,0.6,224.0,182.0,45.0,271.0,18.0
2,0.9891090393066406,False,Suit_Regular,Coat_Regular,2.jpg,274.0,0.0,0.8,224.0,182.0,45.0,271.0,18.0
3,0.22591371834278107,True,Coat_Regular,Coat_Regular,3.jpg,383.0,0.7163129534008652,0.2,300.0,249.0,59.0,376.0,62.0
3,0.976353645324707,False,Suit_Regular,Coat_Regular,3.jpg,383.0,0.7163129534008652,0.4,300.0,249.0,59.0,376.0,62.0
3,0.976353645324707,False,Suit_Regular,Coat_Regular,3.jpg,383.0,0.7163129534008652,0.6,300.0,249.0,59.0,376.0,62.0
3,0.976353645324707,False,Suit_Regular,Coat_Regular,3.jpg,383.0,0.7163129534008652,0.8,300.0,249.0,59.0,376.0,62.0
4,0.6675888895988464,True,Coat_Regular,Coat_Regular,4.jpg,458.0,0.8666748538844388,0.2,600.0,436.0,188.0,457.0,155.0
4,0.6675888895988464,True,Coat_Regular,Coat_Regular,4.jpg,458.0,0.8666748538844388,0.4,600.0,436.0,188.0,457.0,155.0
4,0.6675888895988464,True,Coat_Regular,Coat_Regular,4.jpg,458.0,0.8666748538844388,0.6,600.0,436.0,188.0,457.0,155.0
4,0.6675888895988464,False,UnDetected,Coat_Regular,4.jpg,458.0,0.8666748538844388,0.8,600.0,436.0,188.0,457.0,155.0
5,0.6650615930557251,True,Coat_Regular,Coat_Regular,5.jpg,698.0,0.7612406051190654,0.2,680.0,490.0,183.0,568.0,168.0
5,0.6650615930557251,True,Coat_Regular,Coat_Regular,5.jpg,698.0,0.7612406051190654,0.4,680.0,490.0,183.0,568.0,168.0
5,0.6650615930557251,True,Coat_Regular,Coat_Regular,5.jpg,698.0,0.7612406051190654,0.6,680.0,490.0,183.0,568.0,168.0
5,0.6650615930557251,False,UnDetected,Coat_Regular,5.jpg,698.0,0.7612406051190654,0.8,680.0,490.0,183.0,568.0,168.0
6,0.9904158115386963,False,Suit_Regular,Coat_Regular,6.jpg,275.0,0.0,0.2,183.0,163.0,39.0,264.0,51.0
6,0.9904158115386963,False,Suit_Regular,Coat_Regular,6.jpg,275.0,0.0,0.4,183.0,163.0,39.0,264.0,51.0
6,0.9904158115386963,False,Suit_Regular,Coat_Regular,6.jpg,275.0,0.0,0.6,183.0,163.0,39.0,264.0,51.0
6,0.9904158115386963,False,Suit_Regular,Coat_Regular,6.jpg,275.0,0.0,0.8,183.0,163.0,39.0,264.0,51.0
7,0.758365273475647,False,Dress_Party,Coat_Regular,7.jpg,254.0,0.0,0.2,199.0,120.0,1.0,254.0,50.0
7,0.758365273475647,False,Dress_Party,Coat_Regular,7.jpg,254.0,0.0,0.4,199.0,120.0,1.0,254.0,50.0
7,0.758365273475647,False,Dress_Party,Coat_Regular,7.jpg,254.0,0.0,0.6,199.0,120.0,1.0,254.0,50.0
7,0.758365273475647,False,UnDetected,Coat_Regular,7.jpg,254.0,0.0,0.8,199.0,120.0,1.0,254.0,50.0
8,0.6254018545150757,True,Coat_Regular,Coat_Regular,8.jpg,615.0,0.5688983954485365,0.2,460.0,400.0,95.0,602.0,102.0
8,0.6254018545150757,True,Coat_Regular,Coat_Regular,8.jpg,615.0,0.5688983954485365,0.4,460.0,400.0,95.0,602.0,102.0
8,0.6254018545150757,True,Coat_Regular,Coat_Regular,8.jpg,615.0,0.5688983954485365,0.6,460.0,400.0,95.0,602.0,102.0
8,0.6254018545150757,False,UnDetected,Coat_Regular,8.jpg,615.0,0.5688983954485365,0.8,460.0,400.0,95.0,602.0,102.0
9,0.2286653220653534,True,Coat_Regular,Coat_Regular,9.jpg,730.0,0.9497761898881724,0.2,1296.0,923.0,415.0,730.0,213.0
9,0.8212403655052185,False,Shirt_LongSleeves,Coat_Regular,9.jpg,730.0,0.9497761898881724,0.4,1296.0,923.0,415.0,730.0,213.0
9,0.8212403655052185,False,Shirt_LongSleeves,Coat_Regular,9.jpg,730.0,0.9497761898881724,0.6,1296.0,923.0,415.0,730.0,213.0
9,0.8212403655052185,False,Shirt_LongSleeves,Coat_Regular,9.jpg,730.0,0.9497761898881724,0.8,1296.0,923.0,415.0,730.0,213.0
0,0.8704713582992554,False,Shirt_LongSleeves,Jacket_Regular,1.jpg,344.0,0.0,0.2,260.0,218.0,43.0,261.0,71.0
0,0.8704713582992554,False,Shirt_LongSleeves,Jacket_Regular,1.jpg,344.0,0.0,0.4,260.0,218.0,43.0,261.0,71.0
0,0.8704713582992554,False,Shirt_LongSleeves,Jacket_Regular,1.jpg,344.0,0.0,0.6,260.0,218.0,43.0,261.0,71.0
0,0.8704713582992554,False,Shirt_LongSleeves,Jacket_Regular,1.jpg,344.0,0.0,0.8,260.0,218.0,43.0,261.0,71.0
1,0.22170455753803253,True,Jacket_Regular,Jacket_Regular,10.jpg,543.0,0.7645835297540702,0.2,445.0,396.0,81.0,513.0,87.0
1,0.8018806576728821,False,Suit_Regular,Jacket_Regular,10.jpg,543.0,0.7645835297540702,0.4,445.0,396.0,81.0,513.0,87.0
1,0.8018806576728821,False,Suit_Regular,Jacket_Regular,10.jpg,543.0,0.7645835297540702,0.6,445.0,396.0,81.0,513.0,87.0
1,0.8018806576728821,False,Suit_Regular,Jacket_Regular,10.jpg,543.0,0.7645835297540702,0.8,445.0,396.0,81.0,513.0,87.0
2,0.9913412928581238,False,Suit_Regular,Jacket_Regular,2.jpg,613.0,0.0,0.2,500.0,431.0,66.0,530.0,35.0
2,0.9913412928581238,False,Suit_Regular,Jacket_Regular,2.jpg,613.0,0.0,0.4,500.0,431.0,66.0,530.0,35.0
2,0.9913412928581238,False,Suit_Regular,Jacket_Regular,2.jpg,613.0,0.0,0.6,500.0,431.0,66.0,530.0,35.0
2,0.9913412928581238,False,Suit_Regular,Jacket_Regular,2.jpg,613.0,0.0,0.8,500.0,431.0,66.0,530.0,35.0
3,0.36002248525619507,False,Suit_Regular,Jacket_Regular,3.jpg,600.0,0.0,0.2,400.0,400.0,3.0,596.0,154.0
3,0.36002248525619507,False,UnDetected,Jacket_Regular,3.jpg,600.0,0.0,0.4,400.0,400.0,3.0,596.0,154.0
3,0.36002248525619507,False,UnDetected,Jacket_Regular,3.jpg,600.0,0.0,0.6,400.0,400.0,3.0,596.0,154.0
3,0.36002248525619507,False,UnDetected,Jacket_Regular,3.jpg,600.0,0.0,0.8,400.0,400.0,3.0,596.0,154.0
4,0.810623824596405,False,Suit_Regular,Jacket_Regular,4.jpg,350.0,0.0,0.2,350.0,306.0,45.0,322.0,1.0
4,0.810623824596405,False,Suit_Regular,Jacket_Regular,4.jpg,350.0,0.0,0.4,350.0,306.0,45.0,322.0,1.0
4,0.810623824596405,False,Suit_Regular,Jacket_Regular,4.jpg,350.0,0.0,0.6,350.0,306.0,45.0,322.0,1.0
4,0.810623824596405,False,Suit_Regular,Jacket_Regular,4.jpg,350.0,0.0,0.8,350.0,306.0,45.0,322.0,1.0
5,0.9012550711631775,False,Shirt_LongSleeves,Jacket_Regular,5.jpg,1000.0,0.0,0.2,1400.0,719.0,132.0,896.0,160.0
5,0.9012550711631775,False,Shirt_LongSleeves,Jacket_Regular,5.jpg,1000.0,0.0,0.4,1400.0,719.0,132.0,896.0,160.0
5,0.9012550711631775,False,Shirt_LongSleeves,Jacket_Regular,5.jpg,1000.0,0.0,0.6,1400.0,719.0,132.0,896.0,160.0
5,0.9012550711631775,False,Shirt_LongSleeves,Jacket_Regular,5.jpg,1000.0,0.0,0.8,1400.0,719.0,132.0,896.0,160.0
6,0.8960293531417847,False,Suit_Regular,Jacket_Regular,6.jpg,249.0,0.0,0.2,203.0,174.0,40.0,225.0,44.0
6,0.8960293531417847,False,Suit_Regular,Jacket_Regular,6.jpg,249.0,0.0,0.4,203.0,174.0,40.0,225.0,44.0
6,0.8960293531417847,False,Suit_Regular,Jacket_Regular,6.jpg,249.0,0.0,0.6,203.0,174.0,40.0,225.0,44.0
6,0.8960293531417847,False,Suit_Regular,Jacket_Regular,6.jpg,249.0,0.0,0.8,203.0,174.0,40.0,225.0,44.0
7,0.8253918290138245,False,Suit_Regular,Jacket_Regular,7.jpg,268.0,0.0,0.2,188.0,187.0,1.0,267.0,29.0
7,0.8253918290138245,False,Suit_Regular,Jacket_Regular,7.jpg,268.0,0.0,0.4,188.0,187.0,1.0,267.0,29.0
7,0.8253918290138245,False,Suit_Regular,Jacket_Regular,7.jpg,268.0,0.0,0.6,188.0,187.0,1.0,267.0,29.0
7,0.8253918290138245,False,Suit_Regular,Jacket_Regular,7.jpg,268.0,0.0,0.8,188.0,187.0,1.0,267.0,29.0
8,0.29690149426460266,True,Jacket_Regular,Jacket_Regular,8.jpg,408.0,0.8865749882009155,0.2,612.0,294.0,60.0,406.0,138.0
8,0.6428837180137634,False,T-Shirt_Regular,Jacket_Regular,8.jpg,408.0,0.8865749882009155,0.4,612.0,294.0,60.0,406.0,138.0
8,0.6428837180137634,False,T-Shirt_Regular,Jacket_Regular,8.jpg,408.0,0.8865749882009155,0.6,612.0,294.0,60.0,406.0,138.0
8,0.6428837180137634,False,UnDetected,Jacket_Regular,8.jpg,408.0,0.8865749882009155,0.8,612.0,294.0,60.0,406.0,138.0
9,0.746236264705658,False,trouser_Slim,Jacket_Regular,9.jpg,1024.0,0.0,0.2,732.0,587.0,137.0,846.0,214.0
9,0.746236264705658,False,trouser_Slim,Jacket_Regular,9.jpg,1024.0,0.0,0.4,732.0,587.0,137.0,846.0,214.0
9,0.746236264705658,False,trouser_Slim,Jacket_Regular,9.jpg,1024.0,0.0,0.6,732.0,587.0,137.0,846.0,214.0
9,0.746236264705658,False,UnDetected,Jacket_Regular,9.jpg,1024.0,0.0,0.8,732.0,587.0,137.0,846.0,214.0
0,0.942020833492279,False,Shirt_Polo,Shirt_LongSleeves,1.jpg,1800.0,0.0,0.2,1200.0,1159.0,40.0,1377.0,47.0
0,0.942020833492279,False,Shirt_Polo,Shirt_LongSleeves,1.jpg,1800.0,0.0,0.4,1200.0,1159.0,40.0,1377.0,47.0
0,0.942020833492279,False,Shirt_Polo,Shirt_LongSleeves,1.jpg,1800.0,0.0,0.6,1200.0,1159.0,40.0,1377.0,47.0
0,0.942020833492279,False,Shirt_Polo,Shirt_LongSleeves,1.jpg,1800.0,0.0,0.8,1200.0,1159.0,40.0,1377.0,47.0
1,0.9288325309753418,True,Shirt_LongSleeves,Shirt_LongSleeves,10.jpg,252.0,0.9173179934970981,0.2,200.0,155.0,34.0,214.0,47.0
1,0.9288325309753418,True,Shirt_LongSleeves,Shirt_LongSleeves,10.jpg,252.0,0.9173179934970981,0.4,200.0,155.0,34.0,214.0,47.0
1,0.9288325309753418,True,Shirt_LongSleeves,Shirt_LongSleeves,10.jpg,252.0,0.9173179934970981,0.6,200.0,155.0,34.0,214.0,47.0
1,0.9288325309753418,True,Shirt_LongSleeves,Shirt_LongSleeves,10.jpg,252.0,0.9173179934970981,0.8,200.0,155.0,34.0,214.0,47.0
2,0.9877244234085083,True,Shirt_LongSleeves,Shirt_LongSleeves,2.jpg,987.0,0.8416202553323526,0.2,681.0,608.0,74.0,850.0,251.0
2,0.9877244234085083,True,Shirt_LongSleeves,Shirt_LongSleeves,2.jpg,987.0,0.8416202553323526,0.4,681.0,608.0,74.0,850.0,251.0
2,0.9877244234085083,True,Shirt_LongSleeves,Shirt_LongSleeves,2.jpg,987.0,0.8416202553323526,0.6,681.0,608.0,74.0,850.0,251.0
2,0.9877244234085083,True,Shirt_LongSleeves,Shirt_LongSleeves,2.jpg,987.0,0.8416202553323526,0.8,681.0,608.0,74.0,850.0,251.0
3,0.4165332317352295,True,Shirt_LongSleeves,Shirt_LongSleeves,3.jpg,385.0,0.8213926577104628,0.2,385.0,297.0,104.0,288.0,92.0
3,0.4165332317352295,True,Shirt_LongSleeves,Shirt_LongSleeves,3.jpg,385.0,0.8213926577104628,0.4,385.0,297.0,104.0,288.0,92.0
3,0.9231276512145996,False,Top_Casual,Shirt_LongSleeves,3.jpg,385.0,0.8213926577104628,0.6,385.0,297.0,104.0,288.0,92.0
3,0.9231276512145996,False,Top_Casual,Shirt_LongSleeves,3.jpg,385.0,0.8213926577104628,0.8,385.0,297.0,104.0,288.0,92.0
4,0.8887508511543274,True,Shirt_LongSleeves,Shirt_LongSleeves,4.jpg,640.0,0.7499290397809433,0.2,640.0,514.0,124.0,574.0,150.0
4,0.8887508511543274,True,Shirt_LongSleeves,Shirt_LongSleeves,4.jpg,640.0,0.7499290397809433,0.4,640.0,514.0,124.0,574.0,150.0
4,0.8887508511543274,True,Shirt_LongSleeves,Shirt_LongSleeves,4.jpg,640.0,0.7499290397809433,0.6,640.0,514.0,124.0,574.0,150.0
4,0.8887508511543274,True,Shirt_LongSleeves,Shirt_LongSleeves,4.jpg,640.0,0.7499290397809433,0.8,640.0,514.0,124.0,574.0,150.0
5,0.26153087615966797,False,Suit_Regular,Shirt_LongSleeves,5.jpg,307.0,0.0,0.2,216.0,206.0,10.0,248.0,13.0
5,0.26153087615966797,False,UnDetected,Shirt_LongSleeves,5.jpg,307.0,0.0,0.4,216.0,206.0,10.0,248.0,13.0
5,0.26153087615966797,False,UnDetected,Shirt_LongSleeves,5.jpg,307.0,0.0,0.6,216.0,206.0,10.0,248.0,13.0
5,0.26153087615966797,False,UnDetected,Shirt_LongSleeves,5.jpg,307.0,0.0,0.8,216.0,206.0,10.0,248.0,13.0
6,0.5309752225875854,True,Shirt_LongSleeves,Shirt_LongSleeves,6.jpg,300.0,0.8027587455089373,0.2,300.0,248.0,51.0,260.0,20.0
6,0.5309752225875854,True,Shirt_LongSleeves,Shirt_LongSleeves,6.jpg,300.0,0.8027587455089373,0.4,300.0,248.0,51.0,260.0,20.0
6,0.9305989742279053,False,Shoe,Shirt_LongSleeves,6.jpg,300.0,0.8027587455089373,0.6,300.0,248.0,51.0,260.0,20.0
6,0.9305989742279053,False,Shoe,Shirt_LongSleeves,6.jpg,300.0,0.8027587455089373,0.8,300.0,248.0,51.0,260.0,20.0
7,0.47644397616386414,True,Shirt_LongSleeves,Shirt_LongSleeves,7.jpg,563.0,0.9201330108154774,0.2,375.0,356.0,4.0,556.0,139.0
7,0.47644397616386414,True,Shirt_LongSleeves,Shirt_LongSleeves,7.jpg,563.0,0.9201330108154774,0.4,375.0,356.0,4.0,556.0,139.0
7,0.6291119456291199,False,Shirt_Regular,Shirt_LongSleeves,7.jpg,563.0,0.9201330108154774,0.6,375.0,356.0,4.0,556.0,139.0
7,0.6291119456291199,False,UnDetected,Shirt_LongSleeves,7.jpg,563.0,0.9201330108154774,0.8,375.0,356.0,4.0,556.0,139.0
8,0.42834967374801636,False,Dress_Casual,Shirt_LongSleeves,8.jpg,275.0,0.0,0.2,183.0,164.0,12.0,239.0,30.0
8,0.42834967374801636,False,Dress_Casual,Shirt_LongSleeves,8.jpg,275.0,0.0,0.4,183.0,164.0,12.0,239.0,30.0
8,0.42834967374801636,False,UnDetected,Shirt_LongSleeves,8.jpg,275.0,0.0,0.6,183.0,164.0,12.0,239.0,30.0
8,0.42834967374801636,False,UnDetected,Shirt_LongSleeves,8.jpg,275.0,0.0,0.8,183.0,164.0,12.0,239.0,30.0
9,0.4921565055847168,True,Shirt_LongSleeves,Shirt_LongSleeves,9.jpg,275.0,0.7985706308479308,0.2,183.0,181.0,1.0,214.0,9.0
9,0.4921565055847168,True,Shirt_LongSleeves,Shirt_LongSleeves,9.jpg,275.0,0.7985706308479308,0.4,183.0,181.0,1.0,214.0,9.0
9,0.6569180488586426,False,Suit_Regular,Shirt_LongSleeves,9.jpg,275.0,0.7985706308479308,0.6,183.0,181.0,1.0,214.0,9.0
9,0.6569180488586426,False,UnDetected,Shirt_LongSleeves,9.jpg,275.0,0.7985706308479308,0.8,183.0,181.0,1.0,214.0,9.0
0,0.9245694875717163,False,T-Shirt_Regular,Shirt_Polo,1.jpg,1230.0,0.0,0.2,1059.0,1009.0,73.0,1230.0,716.0
0,0.9245694875717163,False,T-Shirt_Regular,Shirt_Polo,1.jpg,1230.0,0.0,0.4,1059.0,1009.0,73.0,1230.0,716.0
0,0.9245694875717163,False,T-Shirt_Regular,Shirt_Polo,1.jpg,1230.0,0.0,0.6,1059.0,1009.0,73.0,1230.0,716.0
0,0.9245694875717163,False,T-Shirt_Regular,Shirt_Polo,1.jpg,1230.0,0.0,0.8,1059.0,1009.0,73.0,1230.0,716.0
1,0.7455165982246399,False,Shirt_LongSleeves,Shirt_Polo,10.jpg,800.0,0.0,0.2,1700.0,836.0,86.0,800.0,243.0
1,0.7455165982246399,False,Shirt_LongSleeves,Shirt_Polo,10.jpg,800.0,0.0,0.4,1700.0,836.0,86.0,800.0,243.0
1,0.7455165982246399,False,Shirt_LongSleeves,Shirt_Polo,10.jpg,800.0,0.0,0.6,1700.0,836.0,86.0,800.0,243.0
1,0.7455165982246399,False,UnDetected,Shirt_Polo,10.jpg,800.0,0.0,0.8,1700.0,836.0,86.0,800.0,243.0
2,0.9727914333343506,False,Shirt_LongSleeves,Shirt_Polo,2.jpg,499.0,0.0,0.2,307.0,293.0,2.0,430.0,116.0
2,0.9727914333343506,False,Shirt_LongSleeves,Shirt_Polo,2.jpg,499.0,0.0,0.4,307.0,293.0,2.0,430.0,116.0
2,0.9727914333343506,False,Shirt_LongSleeves,Shirt_Polo,2.jpg,499.0,0.0,0.6,307.0,293.0,2.0,430.0,116.0
2,0.9727914333343506,False,Shirt_LongSleeves,Shirt_Polo,2.jpg,499.0,0.0,0.8,307.0,293.0,2.0,430.0,116.0
3,0.7792162299156189,True,Shirt_Polo,Shirt_Polo,3.jpg,300.0,0.8191156111279222,0.2,240.0,195.0,16.0,281.0,85.0
3,0.7792162299156189,True,Shirt_Polo,Shirt_Polo,3.jpg,300.0,0.8191156111279222,0.4,240.0,195.0,16.0,281.0,85.0
3,0.7792162299156189,True,Shirt_Polo,Shirt_Polo,3.jpg,300.0,0.8191156111279222,0.6,240.0,195.0,16.0,281.0,85.0
3,0.7792162299156189,False,UnDetected,Shirt_Polo,3.jpg,300.0,0.8191156111279222,0.8,240.0,195.0,16.0,281.0,85.0
4,0.7781744003295898,False,Shirt_Regular,Shirt_Polo,4.jpg,1000.0,0.0,0.2,1000.0,999.0,89.0,1000.0,407.0
4,0.7781744003295898,False,Shirt_Regular,Shirt_Polo,4.jpg,1000.0,0.0,0.4,1000.0,999.0,89.0,1000.0,407.0
4,0.7781744003295898,False,Shirt_Regular,Shirt_Polo,4.jpg,1000.0,0.0,0.6,1000.0,999.0,89.0,1000.0,407.0
4,0.7781744003295898,False,UnDetected,Shirt_Polo,4.jpg,1000.0,0.0,0.8,1000.0,999.0,89.0,1000.0,407.0
5,0.5358693599700928,True,Shirt_Polo,Shirt_Polo,5.jpg,1024.0,0.7151740796395165,0.2,916.0,755.0,174.0,994.0,211.0
5,0.5358693599700928,True,Shirt_Polo,Shirt_Polo,5.jpg,1024.0,0.7151740796395165,0.4,916.0,755.0,174.0,994.0,211.0
5,0.5358693599700928,False,UnDetected,Shirt_Polo,5.jpg,1024.0,0.7151740796395165,0.6,916.0,755.0,174.0,994.0,211.0
5,0.5358693599700928,False,UnDetected,Shirt_Polo,5.jpg,1024.0,0.7151740796395165,0.8,916.0,755.0,174.0,994.0,211.0
6,0.9967888593673706,False,T-Shirt_Regular,Shirt_Polo,6.jpg,360.0,0.0,0.2,480.0,427.0,177.0,360.0,144.0
6,0.9967888593673706,False,T-Shirt_Regular,Shirt_Polo,6.jpg,360.0,0.0,0.4,480.0,427.0,177.0,360.0,144.0
6,0.9967888593673706,False,T-Shirt_Regular,Shirt_Polo,6.jpg,360.0,0.0,0.6,480.0,427.0,177.0,360.0,144.0
6,0.9967888593673706,False,T-Shirt_Regular,Shirt_Polo,6.jpg,360.0,0.0,0.8,480.0,427.0,177.0,360.0,144.0
7,0.4786863625049591,True,Shirt_Polo,Shirt_Polo,7.jpg,600.0,0.8739070629648181,0.2,600.0,473.0,149.0,560.0,142.0
7,0.4786863625049591,True,Shirt_Polo,Shirt_Polo,7.jpg,600.0,0.8739070629648181,0.4,600.0,473.0,149.0,560.0,142.0
